Episode 304/1000 | Score: 200 | Reward: -109.51 | Epsilon: 0.22
Episode 305/1000 | Score: 200 | Reward: -133.48 | Epsilon: 0.22
Episode 306/1000 | Score: 200 | Reward: -127.78 | Epsilon: 0.22
Episode 307/1000 | Score: 200 | Reward: -131.13 | Epsilon: 0.22
Episode 308/1000 | Score: 200 | Reward: -89.77 | Epsilon: 0.21
Episode 309/1000 | Score: 200 | Reward: -88.68 | Epsilon: 0.21
Episode 310/1000 | Score: 200 | Reward: -75.57 | Epsilon: 0.21
Episode 311/1000 | Score: 200 | Reward: -120.45 | Epsilon: 0.21
Episode 312/1000 | Score: 200 | Reward: -114.23 | Epsilon: 0.21
Episode 313/1000 | Score: 200 | Reward: -101.00 | Epsilon: 0.21
Episode 314/1000 | Score: 200 | Reward: -77.27 | Epsilon: 0.21
Episode 315/1000 | Score: 200 | Reward: -78.69 | Epsilon: 0.21
Episode 316/1000 | Score: 200 | Reward: -103.36 | Epsilon: 0.21
Episode 317/1000 | Score: 200 | Reward: -100.32 | Epsilon: 0.21
Episode 318/1000 | Score: 200 | Reward: -108.52 | Epsilon: 0.20
Episode 319/1000 | Score: 200 | Reward: -171.73 | Epsilon: 0.20
Episode 320/1000 | Score: 200 | Reward: -127.71 | Epsilon: 0.20
Episode 321/1000 | Score: 200 | Reward: -104.35 | Epsilon: 0.20
Episode 322/1000 | Score: 200 | Reward: -106.75 | Epsilon: 0.20
Episode 323/1000 | Score: 200 | Reward: -114.19 | Epsilon: 0.20
Episode 324/1000 | Score: 200 | Reward: -111.13 | Epsilon: 0.20
Episode 325/1000 | Score: 200 | Reward: -135.73 | Epsilon: 0.20
Episode 326/1000 | Score: 200 | Reward: -126.57 | Epsilon: 0.20
Episode 327/1000 | Score: 200 | Reward: -173.92 | Epsilon: 0.20
Episode 328/1000 | Score: 200 | Reward: -176.86 | Epsilon: 0.19
Episode 329/1000 | Score: 200 | Reward: -148.25 | Epsilon: 0.19
Episode 330/1000 | Score: 200 | Reward: -149.69 | Epsilon: 0.19
Episode 331/1000 | Score: 200 | Reward: -114.52 | Epsilon: 0.19
Episode 332/1000 | Score: 200 | Reward: -125.61 | Epsilon: 0.19
Episode 333/1000 | Score: 200 | Reward: -108.32 | Epsilon: 0.19
Episode 334/1000 | Score: 200 | Reward: -116.08 | Epsilon: 0.19
Episode 335/1000 | Score: 200 | Reward: -111.60 | Epsilon: 0.19
Episode 336/1000 | Score: 200 | Reward: -119.33 | Epsilon: 0.19
Episode 337/1000 | Score: 200 | Reward: -174.85 | Epsilon: 0.19
Episode 338/1000 | Score: 200 | Reward: -134.35 | Epsilon: 0.18
Episode 339/1000 | Score: 200 | Reward: -130.77 | Epsilon: 0.18
Episode 340/1000 | Score: 200 | Reward: -150.94 | Epsilon: 0.18
Episode 341/1000 | Score: 200 | Reward: -131.03 | Epsilon: 0.18
Episode 342/1000 | Score: 200 | Reward: -96.92 | Epsilon: 0.18
Episode 343/1000 | Score: 200 | Reward: -122.74 | Epsilon: 0.18
Episode 344/1000 | Score: 200 | Reward: -159.64 | Epsilon: 0.18
Episode 345/1000 | Score: 200 | Reward: -158.10 | Epsilon: 0.18
Episode 346/1000 | Score: 200 | Reward: -119.76 | Epsilon: 0.18
Episode 347/1000 | Score: 200 | Reward: -136.00 | Epsilon: 0.18
Episode 348/1000 | Score: 200 | Reward: -143.92 | Epsilon: 0.18
Episode 349/1000 | Score: 200 | Reward: -145.26 | Epsilon: 0.17
Episode 350/1000 | Score: 200 | Reward: -139.29 | Epsilon: 0.17
Episode 351/1000 | Score: 200 | Reward: -128.86 | Epsilon: 0.17
Episode 352/1000 | Score: 200 | Reward: -161.36 | Epsilon: 0.17
Episode 353/1000 | Score: 200 | Reward: -136.24 | Epsilon: 0.17
Episode 354/1000 | Score: 200 | Reward: -128.52 | Epsilon: 0.17
Episode 355/1000 | Score: 200 | Reward: -157.20 | Epsilon: 0.17
Episode 356/1000 | Score: 200 | Reward: -91.26 | Epsilon: 0.17
Episode 357/1000 | Score: 200 | Reward: -98.90 | Epsilon: 0.17
Episode 358/1000 | Score: 200 | Reward: -77.07 | Epsilon: 0.17
Episode 359/1000 | Score: 200 | Reward: -89.18 | Epsilon: 0.17
Episode 360/1000 | Score: 200 | Reward: -119.28 | Epsilon: 0.17
Episode 361/1000 | Score: 200 | Reward: -119.75 | Epsilon: 0.16
Episode 362/1000 | Score: 200 | Reward: -124.47 | Epsilon: 0.16
Episode 363/1000 | Score: 200 | Reward: -119.38 | Epsilon: 0.16
Episode 364/1000 | Score: 200 | Reward: -110.29 | Epsilon: 0.16
Episode 365/1000 | Score: 200 | Reward: -104.26 | Epsilon: 0.16
